,,,,,,
,SpaceMount BOM,,,Total Estimated Cost:,$977.47,
,,,,,,
,,,,,,
,Item Name,Quantity,Cost,Use,Source,Notes
,Polar Mount,,,,,
,Sheet Metal Plates,9,$142.00,Frame,https://www.oshcut.com/,See Plates_List
,87.3mm 2040 Extrusion,2,$22.00,Frame,https://www.aliexpress.us/item/3256802459096306.html?,Covers Both Lengths of 2040 - Buy 400mm and Cut to Size
,52.8mm 2040 Extrusion,2,,Frame,,
,87.3mm 4040 Extrusion,1,$12.00,Altitude Shaft,https://www.aliexpress.us/item/3256807986307289.html?,Buy 100mm and Cut to Size
,Arcaswiss Mounting Plate and Clamp,1,$22.35,Mounting,https://www.aliexpress.us/item/2251832498884091.html,
,RU42UUCC0 Bearing,1,$28.80,Azimuth Output,https://www.aliexpress.us/item/3256808596705253.html?,
,61815 Bearing,2,$33.00,Altitude Turret Bearing,https://www.aliexpress.us/item/3256812188522321.html?,
,F695 Bearing,2,$5.00,Altitude Gearing Bearing,https://www.aliexpress.us/item/3256808879550935.html?,
,6811 Bearing,1,$15.00,Azimuth Gearbox Internal Bearing,https://www.aliexpress.us/item/3256812548641570.html,
,5mm x 100mm Steel Pin,1,$11.00,Altitude Gearing Shaft,https://www.aliexpress.us/item/3256807759794825.html? ,
,5mm x 15mm Steel Pin,10,$10.00,Azimuth Gearbox Internal Pins,https://www.aliexpress.us/item/3256807759794825.html?,Buy 2 packs
,15mm M3 Standoff,12,$8.00,Azimuth Gearbox Output Pin Shafts,https://www.aliexpress.us/item/3256803337647492.html?,Buy 2 packs
,5mmx8mmx12mm Brass Bushing,12,$12.00,Azimuth Gearbox Ouput Pin Bushings,https://www.aliexpress.us/item/3256810437400585.html?,Buy 2 packs
,50t 5mm Bore Worm Gear Set,1,$20.50,Altitude Gearing Gear,https://www.aliexpress.us/item/2255800299678278.html?,
,40T 5mm Bore 6mm Belt Pulley,2,$12.00,Altitude Gearing Pulleys ,https://www.aliexpress.us/item/2251832807875643.html?,
,450mm Length Closed Loop GT2 6mm Belt,2,$15.00,Altitude Gearing Belts,https://www.aliexpress.us/item/3256812034723597.html?,
,Angeleyes Small Vixen Clamp,1,$34.00,Altitude External Mounting,https://www.aliexpress.us/item/3256807005155740.html?,
,M6x10mm Socket Head Bolts,4,$3,Assembly,https://www.aliexpress.us/item/3256802134660814.html,
,M5x100mm Socket Head Bolts,7,$10,Assembly,https://www.amazon.com/Joamang-M5-0-8-Socket-Stainless-Threaded/dp/B0DPHTLG5H/,
,M5x10mm Socket Head Bolts,9,$2,Assembly,https://www.aliexpress.us/item/3256802134660814.html,
,M5x16mm Socket Head Bolts,36,$10,Assembly,https://www.amazon.com/M5-0-8-Socket-Screws-Stainless-Thread/dp/B07PXL8DGH,
,M5x25mm Socket Head Bolts,21,$7,Assembly,https://www.aliexpress.us/item/3256802134660814.html?,Buy 3 packs
,M5x20mm Socket Head Bolts,2,$2.50,Assembly,https://www.aliexpress.us/item/3256802134660814.html?,
,M5 Heat Set Inserts Long (M5xL6xOD7),4,,Assembly,https://www.aliexpress.us/item/3256805885174058.html?,
